Date,Location,Habitat,Depth,Interval,Code,Genus,Species,Count
2022-10-07,Turn Rock,Canopy,NA,5-10,MEFR,Mesocentrotus,franciscanus,7
2022-10-07,Turn Rock,Canopy,NA,10-15,MEFR,Mesocentrotus,franciscanus,0
2022-10-07,Turn Rock,Canopy,NA,15-20,MEFR,Mesocentrotus,franciscanus,2
2022-10-07,Turn Rock,Canopy,NA,20-25,MEFR,Mesocentrotus,franciscanus,1
2022-10-07,Turn Rock,Canopy,NA,25-30,MEFR,Mesocentrotus,franciscanus,5
2022-10-07,Turn Rock,Canopy,NA,30-35,MEFR,Mesocentrotus,franciscanus,8
2022-10-07,Turn Rock,Canopy,NA,35-40,MEFR,Mesocentrotus,franciscanus,6
2022-10-07,Turn Rock,Canopy,NA,0-5,CRST,Cryptochiton,stelleri,1
2022-10-07,Turn Rock,Canopy,NA,5-10,CRST,Cryptochiton,stelleri,0
2022-10-07,Turn Rock,Canopy,NA,10-15,CRST,Cryptochiton,stelleri,0
2022-10-07,Turn Rock,Canopy,NA,15-20,CRST,Cryptochiton,stelleri,0
2022-10-07,Turn Rock,Canopy,NA,20-25,CRST,Cryptochiton,stelleri,0
2022-10-07,Turn Rock,Canopy,NA,25-30,CRST,Cryptochiton,stelleri,0
2022-10-07,Turn Rock,Canopy,NA,30-35,CRST,Cryptochiton,stelleri,0
2022-10-07,Turn Rock,Canopy,NA,35-40,CRST,Cryptochiton,stelleri,1
2022-10-07,Turn Rock,Canopy,NA,0-5,TOLI,Tonicella,lineata,2
2022-10-07,Turn Rock,Canopy,NA,5-10,TOLI,Tonicella,lineata,4
2022-10-07,Turn Rock,Canopy,NA,10-15,TOLI,Tonicella,lineata,0
2022-10-07,Turn Rock,Canopy,NA,15-20,TOLI,Tonicella,lineata,0
2022-10-07,Turn Rock,Canopy,NA,20-25,TOLI,Tonicella,lineata,0
2022-10-07,Turn Rock,Canopy,NA,25-30,TOLI,Tonicella,lineata,1
2022-10-07,Turn Rock,Canopy,NA,30-35,TOLI,Tonicella,lineata,0
2022-10-07,Turn Rock,Canopy,NA,35-40,TOLI,Tonicella,lineata,1
2022-10-07,Turn Rock,Canopy,NA,0-5,EUQU,Eupentacta,quinquesemita,0
2022-10-07,Turn Rock,Canopy,NA,5-10,EUQU,Eupentacta,quinquesemita,0
2022-10-07,Turn Rock,Canopy,NA,10-15,EUQU,Eupentacta,quinquesemita,0
2022-10-07,Turn Rock,Canopy,NA,15-20,EUQU,Eupentacta,quinquesemita,0
2022-10-07,Turn Rock,Canopy,NA,20-25,EUQU,Eupentacta,quinquesemita,0
2022-10-07,Turn Rock,Canopy,NA,25-30,EUQU,Eupentacta,quinquesemita,0
2022-10-07,Turn Rock,Canopy,NA,30-35,EUQU,Eupentacta,quinquesemita,1
2022-10-07,Turn Rock,Canopy,NA,35-40,EUQU,Eupentacta,quinquesemita,1
2022-10-07,Turn Rock,Canopy,NA,0-5,ACMI,Acmaea,mitra,1
2022-10-07,Turn Rock,Canopy,NA,5-10,ACMI,Acmaea,mitra,5
2022-10-07,Turn Rock,Canopy,NA,10-15,ACMI,Acmaea,mitra,2
2022-10-07,Turn Rock,Canopy,NA,15-20,ACMI,Acmaea,mitra,0
2022-10-07,Turn Rock,Canopy,NA,20-25,ACMI,Acmaea,mitra,1
2022-10-07,Turn Rock,Canopy,NA,25-30,ACMI,Acmaea,mitra,0
2022-10-07,Turn Rock,Canopy,NA,30-35,ACMI,Acmaea,mitra,1
2022-10-07,Turn Rock,Canopy,NA,35-40,ACMI,Acmaea,mitra,4
2022-10-07,Turn Rock,Canopy,NA,0-5,CALI,Calliostoma,ligatum,2
2022-10-07,Turn Rock,Canopy,NA,5-10,CALI,Calliostoma,ligatum,17
2022-10-07,Turn Rock,Canopy,NA,10-15,CALI,Calliostoma,ligatum,11
2022-10-07,Turn Rock,Canopy,NA,15-20,CALI,Calliostoma,ligatum,9
2022-10-07,Turn Rock,Canopy,NA,20-25,CALI,Calliostoma,ligatum,5
2022-10-07,Turn Rock,Canopy,NA,25-30,CALI,Calliostoma,ligatum,7
2022-10-07,Turn Rock,Canopy,NA,30-35,CALI,Calliostoma,ligatum,1
2022-10-07,Turn Rock,Canopy,NA,35-40,CALI,Calliostoma,ligatum,1
2022-10-07,Turn Rock,Canopy,NA,0-5,CHHA,Chlamys,hastata,1
2022-10-07,Turn Rock,Canopy,NA,5-10,CHHA,Chlamys,hastata,1
2022-10-07,Turn Rock,Canopy,NA,10-15,CHHA,Chlamys,hastata,1
2022-10-07,Turn Rock,Canopy,NA,15-20,CHHA,Chlamys,hastata,0
2022-10-07,Turn Rock,Canopy,NA,20-25,CHHA,Chlamys,hastata,3
2022-10-07,Turn Rock,Canopy,NA,25-30,CHHA,Chlamys,hastata,1
2022-10-07,Turn Rock,Canopy,NA,30-35,CHHA,Chlamys,hastata,2
2022-10-07,Turn Rock,Canopy,NA,35-40,CHHA,Chlamys,hastata,1
2022-10-07,Turn Rock,Canopy,NA,0-5,HESP,Henricia,spp.,1
2022-10-07,Turn Rock,Canopy,NA,5-10,HESP,Henricia,spp.,2
2022-10-07,Turn Rock,Canopy,NA,10-15,HESP,Henricia,spp.,1
2022-10-07,Turn Rock,Canopy,NA,15-20,HESP,Henricia,spp.,1
2022-10-07,Turn Rock,Canopy,NA,20-25,HESP,Henricia,spp.,0
2022-10-07,Turn Rock,Canopy,NA,25-30,HESP,Henricia,spp.,2
2022-10-07,Turn Rock,Canopy,NA,30-35,HESP,Henricia,spp.,0
2022-10-07,Turn Rock,Canopy,NA,35-40,HESP,Henricia,spp.,0
2022-10-07,Turn Rock,Canopy,NA,0-5,CALU,Cadlina,luteomarginata,0
2022-10-07,Turn Rock,Canopy,NA,5-10,CALU,Cadlina,luteomarginata,0
2022-10-07,Turn Rock,Canopy,NA,10-15,CALU,Cadlina,luteomarginata,0
2022-10-07,Turn Rock,Canopy,NA,15-20,CALU,Cadlina,luteomarginata,0
2022-10-07,Turn Rock,Canopy,NA,20-25,CALU,Cadlina,luteomarginata,1
2022-10-07,Turn Rock,Canopy,NA,25-30,CALU,Cadlina,luteomarginata,0
2022-10-07,Turn Rock,Canopy,NA,30-35,CALU,Cadlina,luteomarginata,0
2022-10-07,Turn Rock,Canopy,NA,35-40,CALU,Cadlina,luteomarginata,0
2022-10-07,Turn Rock,Canopy,NA,0-5,MOSP,Mopalia,sp.,1
2022-10-07,Turn Rock,Canopy,NA,5-10,MOSP,Mopalia,sp.,0
2022-10-07,Turn Rock,Canopy,NA,10-15,MOSP,Mopalia,sp.,0
2022-10-07,Turn Rock,Canopy,NA,15-20,MOSP,Mopalia,sp.,0
2022-10-07,Turn Rock,Canopy,NA,20-25,MOSP,Mopalia,sp.,0
2022-10-07,Turn Rock,Canopy,NA,25-30,MOSP,Mopalia,sp.,0
2022-10-07,Turn Rock,Canopy,NA,30-35,MOSP,Mopalia,sp.,0
2022-10-07,Turn Rock,Canopy,NA,35-40,MOSP,Mopalia,sp.,0
2022-10-07,Turn Rock,Canopy,NA,0-5,CRGI,Crassadoma,gigantea,1
2022-10-07,Turn Rock,Canopy,NA,5-10,CRGI,Crassadoma,gigantea,0
2022-10-07,Turn Rock,Canopy,NA,10-15,CRGI,Crassadoma,gigantea,1
2022-10-07,Turn Rock,Canopy,NA,15-20,CRGI,Crassadoma,gigantea,0
2022-10-07,Turn Rock,Canopy,NA,20-25,CRGI,Crassadoma,gigantea,1
2022-10-07,Turn Rock,Canopy,NA,25-30,CRGI,Crassadoma,gigantea,0
2022-10-07,Turn Rock,Canopy,NA,30-35,CRGI,Crassadoma,gigantea,1
2022-10-07,Turn Rock,Canopy,NA,35-40,CRGI,Crassadoma,gigantea,0
2022-10-07,Turn Rock,Canopy,NA,0-5,PASP,Pagurus,spp.,2
2022-10-07,Turn Rock,Canopy,NA,5-10,PASP,Pagurus,spp.,1
2022-10-07,Turn Rock,Canopy,NA,10-15,PASP,Pagurus,spp.,0
2022-10-07,Turn Rock,Canopy,NA,15-20,PASP,Pagurus,spp.,0
2022-10-07,Turn Rock,Canopy,NA,20-25,PASP,Pagurus,spp.,1
2022-10-07,Turn Rock,Canopy,NA,25-30,PASP,Pagurus,spp.,1
2022-10-07,Turn Rock,Canopy,NA,30-35,PASP,Pagurus,spp.,1
2022-10-07,Turn Rock,Canopy,NA,35-40,PASP,Pagurus,spp.,0
2022-10-07,Turn Rock,Canopy,NA,0-5,CUMI,Cucumaria,miniata,0
2022-10-07,Turn Rock,Canopy,NA,5-10,CUMI,Cucumaria,miniata,2
2022-10-07,Turn Rock,Canopy,NA,10-15,CUMI,Cucumaria,miniata,0
2022-10-07,Turn Rock,Canopy,NA,15-20,CUMI,Cucumaria,miniata,0
2022-10-07,Turn Rock,Canopy,NA,20-25,CUMI,Cucumaria,miniata,0
2022-10-07,Turn Rock,Canopy,NA,25-30,CUMI,Cucumaria,miniata,2
2022-10-07,Turn Rock,Canopy,NA,30-35,CUMI,Cucumaria,miniata,4
2022-10-07,Turn Rock,Canopy,NA,35-40,CUMI,Cucumaria,miniata,1
2022-10-07,Turn Rock,Canopy,NA,0-5,LEHE,Leptasterias,hexactis,0
2022-10-07,Turn Rock,Canopy,NA,5-10,LEHE,Leptasterias,hexactis,1
2022-10-07,Turn Rock,Canopy,NA,10-15,LEHE,Leptasterias,hexactis,0
2022-10-07,Turn Rock,Canopy,NA,15-20,LEHE,Leptasterias,hexactis,0
2022-10-07,Turn Rock,Canopy,NA,20-25,LEHE,Leptasterias,hexactis,0
2022-10-07,Turn Rock,Canopy,NA,25-30,LEHE,Leptasterias,hexactis,0
2022-10-07,Turn Rock,Canopy,NA,30-35,LEHE,Leptasterias,hexactis,0
2022-10-07,Turn Rock,Canopy,NA,35-40,LEHE,Leptasterias,hexactis,0
2022-10-07,Turn Rock,Canopy,NA,0-5,STPU,Strongylocentrotus,purpuratus,0
2022-10-07,Turn Rock,Canopy,NA,5-10,STPU,Strongylocentrotus,purpuratus,3
2022-10-07,Turn Rock,Canopy,NA,10-15,STPU,Strongylocentrotus,purpuratus,0
2022-10-07,Turn Rock,Canopy,NA,15-20,STPU,Strongylocentrotus,purpuratus,0
2022-10-07,Turn Rock,Canopy,NA,20-25,STPU,Strongylocentrotus,purpuratus,0
2022-10-07,Turn Rock,Canopy,NA,25-30,STPU,Strongylocentrotus,purpuratus,0
2022-10-07,Turn Rock,Canopy,NA,30-35,STPU,Strongylocentrotus,purpuratus,0
2022-10-07,Turn Rock,Canopy,NA,35-40,STPU,Strongylocentrotus,purpuratus,0
2022-10-07,Turn Rock,Canopy,NA,0-5,CHRU,Chlamys,rubida,0
2022-10-07,Turn Rock,Canopy,NA,5-10,CHRU,Chlamys,rubida,3
2022-10-07,Turn Rock,Canopy,NA,10-15,CHRU,Chlamys,rubida,0
2022-10-07,Turn Rock,Canopy,NA,15-20,CHRU,Chlamys,rubida,1
2022-10-07,Turn Rock,Canopy,NA,20-25,CHRU,Chlamys,rubida,2
2022-10-07,Turn Rock,Canopy,NA,25-30,CHRU,Chlamys,rubida,3
2022-10-07,Turn Rock,Canopy,NA,30-35,CHRU,Chlamys,rubida,0
2022-10-07,Turn Rock,Canopy,NA,35-40,CHRU,Chlamys,rubida,0
2022-10-07,Turn Rock,Canopy,NA,0-5,ENNA,Entodesma,navicula,0
2022-10-07,Turn Rock,Canopy,NA,5-10,ENNA,Entodesma,navicula,1
2022-10-07,Turn Rock,Canopy,NA,10-15,ENNA,Entodesma,navicula,2
2022-10-07,Turn Rock,Canopy,NA,15-20,ENNA,Entodesma,navicula,1
2022-10-07,Turn Rock,Canopy,NA,20-25,ENNA,Entodesma,navicula,0
2022-10-07,Turn Rock,Canopy,NA,25-30,ENNA,Entodesma,navicula,1
2022-10-07,Turn Rock,Canopy,NA,30-35,ENNA,Entodesma,navicula,0
2022-10-07,Turn Rock,Canopy,NA,35-40,ENNA,Entodesma,navicula,0
2022-10-07,Turn Rock,Canopy,NA,0-5,TRCA,Trichotropis,cancellata,0
2022-10-07,Turn Rock,Canopy,NA,5-10,TRCA,Trichotropis,cancellata,0
2022-10-07,Turn Rock,Canopy,NA,10-15,TRCA,Trichotropis,cancellata,1
2022-10-07,Turn Rock,Canopy,NA,15-20,TRCA,Trichotropis,cancellata,4
2022-10-07,Turn Rock,Canopy,NA,20-25,TRCA,Trichotropis,cancellata,4
2022-10-07,Turn Rock,Canopy,NA,25-30,TRCA,Trichotropis,cancellata,0
2022-10-07,Turn Rock,Canopy,NA,30-35,TRCA,Trichotropis,cancellata,0
2022-10-07,Turn Rock,Canopy,NA,35-40,TRCA,Trichotropis,cancellata,0
2022-10-07,Turn Rock,Canopy,NA,0-5,DIAS,Diodora,aspera,0
2022-10-07,Turn Rock,Canopy,NA,5-10,DIAS,Diodora,aspera,0
2022-10-07,Turn Rock,Canopy,NA,10-15,DIAS,Diodora,aspera,1
2022-10-07,Turn Rock,Canopy,NA,15-20,DIAS,Diodora,aspera,0
2022-10-07,Turn Rock,Canopy,NA,20-25,DIAS,Diodora,aspera,0
2022-10-07,Turn Rock,Canopy,NA,25-30,DIAS,Diodora,aspera,0
2022-10-07,Turn Rock,Canopy,NA,30-35,DIAS,Diodora,aspera,0
2022-10-07,Turn Rock,Canopy,NA,35-40,DIAS,Diodora,aspera,0
2022-10-07,Turn Rock,Canopy,NA,0-5,PSCH,Psolus,chitonoides,0
2022-10-07,Turn Rock,Canopy,NA,5-10,PSCH,Psolus,chitonoides,0
2022-10-07,Turn Rock,Canopy,NA,10-15,PSCH,Psolus,chitonoides,0
2022-10-07,Turn Rock,Canopy,NA,15-20,PSCH,Psolus,chitonoides,1
2022-10-07,Turn Rock,Canopy,NA,20-25,PSCH,Psolus,chitonoides,0
2022-10-07,Turn Rock,Canopy,NA,25-30,PSCH,Psolus,chitonoides,0
2022-10-07,Turn Rock,Canopy,NA,30-35,PSCH,Psolus,chitonoides,4
2022-10-07,Turn Rock,Canopy,NA,35-40,PSCH,Psolus,chitonoides,0
2022-10-07,Turn Rock,Canopy,NA,0-5,CEFO,Ceratostoma,foliatum,0
2022-10-07,Turn Rock,Canopy,NA,5-10,CEFO,Ceratostoma,foliatum,0
2022-10-07,Turn Rock,Canopy,NA,10-15,CEFO,Ceratostoma,foliatum,0
2022-10-07,Turn Rock,Canopy,NA,15-20,CEFO,Ceratostoma,foliatum,1
2022-10-07,Turn Rock,Canopy,NA,20-25,CEFO,Ceratostoma,foliatum,0
2022-10-07,Turn Rock,Canopy,NA,25-30,CEFO,Ceratostoma,foliatum,0
2022-10-07,Turn Rock,Canopy,NA,30-35,CEFO,Ceratostoma,foliatum,1
2022-10-07,Turn Rock,Canopy,NA,35-40,CEFO,Ceratostoma,foliatum,0
